Designator,Comment,Quantity,Description,Manufacturer 1,Manufacturer Part Number 1,Manufacturer Lifecycle 1,Supplier 1,Supplier Part Number 1,Supplier Unit Price 1,Supplier Subtotal 1

"C1, C2","GJM1555C1H120GB01D","2","SMD/SMT 0402 12pF 50Volts C0G 2%","","","","","","",""
"C3, C6, C7","JMK107BB7475KA-T","3","Multilayer Ceramic Capacitors MLCC - SMD/SMT 4.7uF 6.3V X7R 10% 0603","","","","","","",""
"C8","CAP 10uF 16V 1206(3216)","1","CAP 10uF 16V ±20% 1206 (3216 Metric) Thickness 1.3mm SMD","","","","","","",""
"C9, C11, C31, C36, C41, C46, C51","CAP 1uF 25V 0603(1608)","7","CAP 1uF 25V ±10% 0603 (1608 Metric) Thickness 1mm SMD","","","","","","",""
"C10, C12, C18, C26, C27, C28, C29, C30, C32, C33, C37, C38, C42, C43, C47, C48, C56","CAP 100nF 16V 0402(1005)","17","CAP 100nF 16V ±10% 0402 (1005 Metric) Thickness 0.6mm SMD","","","","","","",""
"C13, C14","CAP 1uF 16V 0402(1005)","2","CAP 1uF 16V ±10% 0402 (1005 Metric) Thickness 0.6mm SMD","","","","","","",""
"C15, C17","GRM155R71E473KA88D","2","Chip Capacitor, 47 nF, +/- 10%, 25 V, -55 to 125 degC, 0402 (1005 Metric), RoHS, Tape and Reel","","","","","","",""
"C16","10 uF","1","Capacitor, 0603, X7R, ±10%","","","","","","",""
"C19","1.5nF 25V 0402(1005)","1","CAP 1.5nF 25V ±5% 0402 (1005 Metric) Thickness 0.6mm SMD","","","","","","",""
"C20, C21","GRM1557U1A302JA01D","2","0402, 3000 pF, 10V, U2J, 5%, -55C - 125 C","","","","","","",""
"C22, C23, C24, C25","2.2 nF","4","Chip Capacitor, 2.2 nF, +/- 10%, 50 V, -55 to 125 degC, 0402 (1005 Metric), RoHS, Tape and Reel","","","","","","",""
"C34, C39, C44, C49","CAP 100nF 16V 0603(1608)","4","CAP 100nF 16V ±5% 0603 (1608 Metric) Thickness 1mm SMD","","","","","","",""
"C35, C40, C45, C50","CAP 510pF 50V 0603(1608)","4","CAP 510pF 50V ±5% 0603 (1608 Metric) Thickness 1mm SMD","","","","","","",""
"FB1","600R/0.5A","1","Ferrite Bead, 0603, 600 Ohm @ 100MHz, 500mA, 380 mOhm Max","","","","","","",""
"J1","2328702-6","1","Connector","","","","","","",""
"J4","2328702-4","1","Connector","","","","","","",""
"L1","DFE252012F-100M=P2","1","Fixed Inductors 10uH 480mOhms 1.4A 2.5x2.0mm 20%","","","","","","",""
"LED","APT1608SRCPRV","1","LED Super Bright Red, 75 mW, 5 V, -40 to 85 degC, 2-Pin SMD, RoHS, Tape and Reel","","","","","","",""
"P2","1054500101","1","CONN RCP USB3.1 TYPEC 24P SMD RA","","","","Digi-Key","WM12856CT-ND","",""
"Q1","DMC2400UV","1","Dual N & P Ch MOFET, 1.03A/0.7A, 480mOhm, 450mW","","","","","","",""
"R1","470R 1% 0603(1608)","1","470R 0.1W 1% 0603 (1608 Metric)  SMD","","","","","","",""
"R2","RMCF0603FT10K0","1","Chip Resistor, 10 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0603 (1608 Metric), RoHS, Tape and Reel","","","","","","",""
"R3, R4, R11","1M 1% 0402(1005)","3","1M 0.063W 1% 0402 (1005 Metric)  SMD","","","","","","",""
"R5, R51","10K 1% 0402(1005)","2","10K 0.063W 1% 0402 (1005 Metric)  SMD","","","","","","",""
"R6","21K5 1% 0402(1005)","1","21K5 0.063W 1% 0402 (1005 Metric)  SMD","","","","","","",""
"R7, R8","10K 1% 0402(1005)","2","10K 0.063W 1% 0402 (1005 Metric)  SMD","","","","","","",""
"R9, R12","100K 1% 0402(1005)","2","100K 0.063W 1% 0402 (1005 Metric)  SMD","","","","","","",""
"R10","","1","Chip Resistor, 0 Ohm, +/- 5%, 100 mW, -55 to 155 degC, 0402 (1005 Metric), RoHS, Tape and Reel","","","","","","",""
"R13, R14","40K2 1% 0402(1005)","2","40K2 0.063W 1% 0402 (1005 Metric)  SMD","","","","","","",""
"R15, R16","51K 5% 0402(1005)","2","51K 0.063W 5% 0402 (1005 Metric)  SMD","","","","","","",""
"R17, R18, R19, R20","10M 1% 0402(1005)","4","10M 0.063W 1% 0402 (1005 Metric)  SMD","","","","","","",""
"R21","100R 1% 0402(1005)","1","100R 0.063W 1% 0402 (1005 Metric)  SMD","","","","","","",""
"R22, R23","39R2 1% 0402(1005)","2","39R2 0.063W 1% 0402 (1005 Metric)  SMD","","","","","","",""
"R24, R31, R37, R44","1K 1% 0603(1608)","4","1K 0.1W 1% 0603 (1608 Metric)  SMD","","","","","","",""
"R25","2K74 1% 0603(1608)","1","2K74 0.1W 1% 0603 (1608 Metric)  SMD","","","","","","",""
"R26, R27","27K4 1% 0603(1608)","2","27K4 0.1W 1% 0603 (1608 Metric)  SMD","","","","","","",""
"R28","80K6 1% 0603(1608)","1","80K6 0.1W 1% 0603 (1608 Metric)  SMD","","","","","","",""
"R29","200K,  1% 0603","1","200K 0.1W 1% 0603 (1608 Metric)  SMD","","","","","","",""
"R30, R36, R43, R50","100R 1% 0603(1608)","4","100R 0.1W 1% 0603 (1608 Metric)  SMD","","","","","","",""
"R32, R33, R34, R35, R41, R42, R48, R49","200K 1% 0603(1608)","8","200K 0.1W 1% 0603 (1608 Metric)  SMD","","","","","","",""
"R38, R45","1K02 1% 0603(1608)","2","1K02 0.1W 1% 0603 (1608 Metric)  SMD","","","","","","",""
"R39, R40, R46, R47","10K 1% 0603(1608)","4","10K 0.1W 1% 0603 (1608 Metric)  SMD","","","","","","",""
"R52, R53","4k7","2","Resistor, 0402, ±1%, 0.063W","","","","","","",""
"R54, R55","0R","2","Chip Resistor, 0 Ohm, +/- 5%, 100 mW, -55 to 155 degC, 0402 (1005 Metric), RoHS, Tape and Reel","","","","","","",""
"R56, R57","5.1K 5% 0402(1005)","2","5.1K 0.063W 5% 0402 (1005 Metric)  SMD","","","","","","",""
"RGB","LED RGB","1","RGB LED 1.60 mm x 1.60 mm SMD","","","","Digi-Key","160-2162-1-ND","",""
"SD","DM3AT-SF-PEJM5","1","Connector","","","","","","",""
"SW","SPST Switch","1","SPDT slide Switch, TH","","","","","","",""
"TR1","TC42X-2-204E","1","Trimmer Resistors - SMD 200K 2mm SMD Single Turn","","","","","","",""
"U1","BT840E","1","Bluetooth LE Module, Nordic nRF52840 SoC, Range 180 meters","","","","","","",""
"U2","MCP73831T-2ACI/OT","1","Miniature Single-Cell, Fully Integrated Li-Ion, Li-Polymer Charge Management Controller, 4.2V, 5-Pin SOT-23, Industrial Temperature, Tape and Reel","","","","","","",""
"U3","LM3670MF-3.3/NOPB","1","Miniature Step-Down DC-DC Converter for Ultra Low Voltage Circuits, 5-pin SOT-23, Pb-Free","","","","","","",""
"U4","ADS1292RIPBS","1","2-Channel, 24-Bit ADC with Integrated Respiration Impedance and ECG Front End, -40 to 85 degC, 32-pin QFP (PBS32), Green (RoHS & no Sb/Br)","","","","","","",""
"U5","BMI160","1","BMI160","","","","","","",""
"U6, U11","INMP621ACEZ","2","MEMS audio sensor omnidirectional digital microphone","","","","","","",""
"U7, U8, U9, U10","INA338AIDGST","4","Wide-Temperature, Precision Instrumentation Amplifier with Shutdown, -40 to 125 degC, 10-pin SOP (DGS10), Green (RoHS & no Sb/Br)","","","","","","",""
"VR1, VR2, VR3, VR4","LM4050AEM3-2.0/NOPB","4","Precision Micropower Shunt Voltage Reference, 3-pin SOT-23","","","","","","",""
"X1","32.768kHz","1","XTAL SMD 2012, 32.768kHz, 9pF, ±20ppm","","","","Allied Electronics","70417961","",""
